region,indicator,Unit,Date,Value,Preferred
San Luis Obispo,population,thousands,01/01/2000 00:00:00,53.09,YES
San Luis Obispo,population,thousands,01/01/2005 00:00:00,39.758,YES
San Luis Obispo,population,thousands,01/01/2010 00:00:00,35.947,YES
San Luis Obispo,groundwater,Mgal/d,01/01/2000 00:00:00,3.58,YES
San Luis Obispo,groundwater,Mgal/d,01/01/2005 00:00:00,4.17,YES
San Luis Obispo,groundwater,Mgal/d,01/01/2010 00:00:00,1.39,YES
San Luis Obispo,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.4,YES
San Luis Obispo,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0,YES
San Luis Obispo,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.18,YES
San Luis Obispo,selfsupplied,Mgal/d,01/01/2000 00:00:00,3.98,YES
San Luis Obispo,selfsupplied,Mgal/d,01/01/2005 00:00:00,4.17,YES
San Luis Obispo,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.57,YES
San Luis Obispo,selfpercapitause,gallons/day,01/01/2010 00:00:00,44,YES
San Luis Obispo,public,Mgal/d,01/01/2005 00:00:00,33.43,YES
San Luis Obispo,public,Mgal/d,01/01/2010 00:00:00,24.05,YES
San Luis Obispo,publicpercapita,gallons/day,01/01/2010 00:00:00,103,NO
San Luis Obispo,total,Mgal/d,01/01/2005 00:00:00,37.6,YES
San Luis Obispo,total,Mgal/d,01/01/2010 00:00:00,25.62,YES
San Mateo,population,thousands,01/01/2000 00:00:00,3.52,YES
San Mateo,population,thousands,01/01/2005 00:00:00,9.785,YES
San Mateo,population,thousands,01/01/2010 00:00:00,16.401,YES
San Mateo,groundwater,Mgal/d,01/01/2000 00:00:00,0.24,YES
San Mateo,groundwater,Mgal/d,01/01/2005 00:00:00,3.25,YES
San Mateo,groundwater,Mgal/d,01/01/2010 00:00:00,0.92,YES
San Mateo,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.03,YES
San Mateo,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.11,YES
San Mateo,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.33,YES
San Mateo,selfsupplied,Mgal/d,01/01/2000 00:00:00,0.27,YES
San Mateo,selfsupplied,Mgal/d,01/01/2005 00:00:00,3.36,YES
San Mateo,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.25,YES
San Mateo,selfpercapitause,gallons/day,01/01/2010 00:00:00,76,NO
San Mateo,public,Mgal/d,01/01/2005 00:00:00,67.86,YES
San Mateo,public,Mgal/d,01/01/2010 00:00:00,56.92,YES
San Mateo,publicpercapita,gallons/day,01/01/2010 00:00:00,81,NO
San Mateo,total,Mgal/d,01/01/2005 00:00:00,71.22,YES
San Mateo,total,Mgal/d,01/01/2010 00:00:00,58.17,YES
Santa Barbara,population,thousands,01/01/2000 00:00:00,46.91,YES
Santa Barbara,population,thousands,01/01/2005 00:00:00,7.057,YES
Santa Barbara,population,thousands,01/01/2010 00:00:00,39.865,YES
Santa Barbara,groundwater,Mgal/d,01/01/2000 00:00:00,3.17,YES
Santa Barbara,groundwater,Mgal/d,01/01/2005 00:00:00,3.36,YES
Santa Barbara,groundwater,Mgal/d,01/01/2010 00:00:00,2.66,YES
Santa Barbara,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.35,YES
Santa Barbara,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,0.67,YES
Santa Barbara,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.32,YES
Santa Barbara,selfsupplied,Mgal/d,01/01/2000 00:00:00,3.52,YES
Santa Barbara,selfsupplied,Mgal/d,01/01/2005 00:00:00,4.03,YES
Santa Barbara,selfsupplied,Mgal/d,01/01/2010 00:00:00,2.98,YES
Santa Barbara,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Santa Barbara,public,Mgal/d,01/01/2005 00:00:00,40.68,YES
Santa Barbara,public,Mgal/d,01/01/2010 00:00:00,39.47,YES
Santa Barbara,publicpercapita,gallons/day,01/01/2010 00:00:00,103,NO
Santa Barbara,total,Mgal/d,01/01/2005 00:00:00,44.71,YES
Santa Barbara,total,Mgal/d,01/01/2010 00:00:00,42.45,YES
Santa Clara,population,thousands,01/01/2000 00:00:00,16.45,YES
Santa Clara,population,thousands,01/01/2005 00:00:00,13.714,YES
Santa Clara,population,thousands,01/01/2010 00:00:00,69.822,YES
Santa Clara,groundwater,Mgal/d,01/01/2000 00:00:00,1.11,YES
Santa Clara,groundwater,Mgal/d,01/01/2005 00:00:00,12.3,YES
Santa Clara,groundwater,Mgal/d,01/01/2010 00:00:00,4.59,YES
Santa Clara,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.12,YES
Santa Clara,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,2.7,YES
Santa Clara,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.65,YES
Santa Clara,selfsupplied,Mgal/d,01/01/2000 00:00:00,1.23,YES
Santa Clara,selfsupplied,Mgal/d,01/01/2005 00:00:00,15,YES
Santa Clara,selfsupplied,Mgal/d,01/01/2010 00:00:00,5.24,YES
Santa Clara,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Santa Clara,public,Mgal/d,01/01/2005 00:00:00,120.37,NO
Santa Clara,public,Mgal/d,01/01/2010 00:00:00,141.63,NO
Santa Clara,publicpercapita,gallons/day,01/01/2010 00:00:00,83,NO
Santa Clara,total,Mgal/d,01/01/2005 00:00:00,135.37,NO
Santa Clara,total,Mgal/d,01/01/2010 00:00:00,146.87,NO
Santa Cruz,population,thousands,01/01/2000 00:00:00,35,YES
Santa Cruz,population,thousands,01/01/2005 00:00:00,13.49,YES
Santa Cruz,population,thousands,01/01/2010 00:00:00,19.452,YES
Santa Cruz,groundwater,Mgal/d,01/01/2000 00:00:00,2.36,YES
Santa Cruz,groundwater,Mgal/d,01/01/2005 00:00:00,12.95,YES
Santa Cruz,groundwater,Mgal/d,01/01/2010 00:00:00,1.25,YES
Santa Cruz,selfsuppliedsurface,Mgal/d,01/01/2000 00:00:00,0.26,YES
Santa Cruz,selfsuppliedsurface,Mgal/d,01/01/2005 00:00:00,1.45,YES
Santa Cruz,selfsuppliedsurface,Mgal/d,01/01/2010 00:00:00,0.21,YES
Santa Cruz,selfsupplied,Mgal/d,01/01/2000 00:00:00,2.62,YES
Santa Cruz,selfsupplied,Mgal/d,01/01/2005 00:00:00,14.4,YES
Santa Cruz,selfsupplied,Mgal/d,01/01/2010 00:00:00,1.46,YES
Santa Cruz,selfpercapitause,gallons/day,01/01/2010 00:00:00,75,NO
Santa Cruz,public,Mgal/d,01/01/2005 00:00:00,17.05,YES
